name
Bonnet 
          Boot 
          Front right door 
          Front left door 
          Rear right door 
          Rear left door 
          Roof 
          Front right quarter panel 
          Front left quarter panel 
          Rear right quarter panel 
          Rear left quarter panel 
          Front Bumper 
          Rear Bumper 
          Fuel filler cap
