name
          Beading: Front left door 
          Beading: Front right door 
          Beading: Rear left door 
          Beading: Rear right door 
          Beading: Boot 
          Wiper: Front left 
          Wiper: Front right 
          Wiper: Rear 
          Front Under Bonnet 
